iter	Passed	Remaining
443	1094	1370
444	1096	1367
445	1099	1365
446	1101	1362
447	1104	1361
448	1107	1358
449	1109	1355
450	1111	1353
451	1113	1350
452	1116	1348
453	1118	1345
454	1121	1343
455	1124	1341
456	1126	1338
457	1128	1335
458	1131	1333
459	1133	1330
460	1136	1328
461	1138	1326
462	1141	1323
463	1143	1321
464	1146	1318
465	1149	1316
466	1152	1314
467	1154	1312
468	1157	1310
469	1160	1308
470	1163	1306
471	1166	1304
472	1169	1302
473	1172	1300
474	1174	1298
475	1177	1296
476	1180	1294
477	1183	1292
478	1186	1290
479	1189	1288
480	1192	1286
481	1195	1284
482	1197	1282
483	1201	1281
484	1204	1278
485	1207	1276
486	1209	1274
487	1212	1271
488	1214	1269
489	1218	1267
490	1220	1265
491	1224	1263
492	1226	1261
493	1229	1259
494	1233	1258
495	1236	1256
496	1240	1255
497	1243	1253
498	1247	1252
499	1250	1250
500	1253	1248
501	1256	1246
502	1259	1244
503	1262	1242
504	1265	1240
505	1268	1238
506	1271	1236
507	1274	1234
508	1276	1231
509	1279	1229
510	1282	1227
511	1286	1226
512	1291	1226
513	1295	1224
514	1299	1224
515	1303	1222
516	1306	1220
517	1324	1232
518	1328	1231
519	1333	1230
520	1337	1229
521	1341	1228
522	1347	1228
523	1351	1227
524	1354	1225
525	1359	1224
526	1363	1223
527	1366	1221
528	1370	1220
529	1373	1218
530	1377	1216
531	1380	1214
532	1383	1212
533	1386	1209
534	1388	1207
535	1391	1204
536	1394	1202
537	1397	1199
538	1399	1197
539	1402	1194
540	1404	1191
541	1407	1189
542	1410	1186
543	1412	1184
544	1414	1181
545	1417	1178
546	1419	1175
547	1422	1173
548	1426	1171
549	1428	1168
550	1431	1166
551	1469	1192
552	1473	1190
553	1480	1191
554	1488	1193
555	1491	1190
556	1493	1187
557	1495	1184
558	1498	1181
559	1500	1178
560	1502	1175
561	1504	1172
562	1507	1170
563	1510	1167
564	1512	1164
565	1515	1161
566	1517	1158
567	1519	1156
568	1522	1153
569	1524	1150
570	1527	1147
571	1529	1144
572	1532	1141
573	1534	1138
574	1536	1135
575	1539	1133
576	1541	1130
577	1543	1127
578	1546	1124
579	1548	1121
580	1550	1118
581	1553	1115
582	1555	1112
583	1558	1109
584	1560	1107
585	1563	1104
586	1565	1101
587	1567	1098
588	1569	1095
589	1572	1092
590	1574	1089
591	1577	1087
592	1579	1084
593	1582	1081
594	1584	1078
595	1587	1075
596	1589	1072
597	1591	1070
598	1594	1067
599	1596	1064
600	1598	1061
601	1600	1058
602	1603	1055
603	1606	1053
604	1608	1050
605	1611	1047
606	1613	1044
607	1615	1041
608	1617	1038
609	1620	1036
610	1622	1033
611	1625	1030
612	1627	1027
613	1629	1024
614	1631	1021
615	1634	1018
616	1636	1016
617	1639	1013
618	1641	1010
619	1643	1007
620	1646	1004
621	1648	1001
622	1650	999
623	1653	996
624	1655	993
625	1657	990
626	1660	987
627	1662	984
628	1664	981
629	1666	979
630	1669	976
631	1671	973
632	1673	970
633	1676	967
634	1678	964
635	1680	961
636	1683	959
637	1685	956
638	1688	953
639	1690	950
640	1692	947
641	1694	945
642	1697	942
643	1699	939
644	1702	936
645	1704	934
646	1706	931
647	1709	928
648	1711	925
649	1713	922
650	1716	920
651	1719	917
652	1721	914
653	1723	911
654	1725	909
655	1728	906
656	1730	903
657	1733	901
658	1736	898
659	1738	895
660	1740	892
661	1743	890
662	1745	887
663	1748	884
664	1750	881
665	1753	879
666	1755	876
667	1758	874
668	1760	871
669	1764	868
670	1766	866
671	1769	863
672	1771	860
673	1774	858
674	1777	855
675	1780	853
676	1782	850
677	1785	848
678	1788	845
679	1790	842
680	1793	839
681	1795	837
682	1798	834
683	1801	832
684	1803	829
685	1806	826
686	1808	824
687	1811	821
688	1813	818
689	1816	816
690	1818	813
691	1821	810
692	1824	808
693	1828	806
694	1831	803
695	1834	801
696	1837	799
697	1840	796
698	1843	794
699	1847	791
700	1852	790
701	1855	787
702	1859	785
703	1863	783
704	1866	780
705	1870	778
706	1873	776
707	1878	774
708	1881	772
709	1884	769
710	1888	767
711	1891	764
712	1895	762
713	1898	760
714	1901	758
715	1904	755
716	1909	753
717	1912	751
718	1916	748
719	1919	746
720	1924	744
721	1927	742
722	1930	739
723	1933	737
724	1936	734
725	1941	732
726	1944	730
727	1947	727
728	1951	725
729	1956	723
730	1959	721
731	1962	718
732	1965	716
733	1968	713
734	1973	711
735	1976	708
736	1980	706
737	1983	704
738	1986	701
739	1990	699
740	1992	696
741	1996	694
742	1998	691
743	2001	688
744	2006	686
745	2009	684
746	2012	681
747	2014	678
748	2019	676
749	2022	674
750	2024	671
751	2027	668
752	2030	666
753	2033	663
754	2037	661
755	2040	658
756	2043	656
757	2046	653
758	2049	650
759	2054	648
760	2057	646
761	2060	643
762	2063	641
763	2068	638
764	2071	636
765	2074	633
766	2077	630
767	2079	628
768	2084	626
769	2086	623
770	2089	620
771	2092	617
772	2095	615
773	2097	612
774	2101	610
775	2104	607
776	2107	604
777	2110	602
778	2113	599
779	2118	597
780	2120	594
781	2123	592
782	2126	589
783	2129	586
784	2133	584
785	2135	581
786	2138	578
787	2141	576
788	2144	573
789	2149	571
790	2151	568
791	2154	565
792	2157	563
793	2160	560
794	2164	558
795	2167	555
796	2170	552
797	2173	550
798	2175	547
799	2180	545
800	2183	542
801	2186	539
802	2189	537
803	2192	534
804	2196	532
805	2199	529
806	2202	526
807	2204	523
808	2207	521
809	2211	518
810	2214	516
811	2217	513
812	2220	510
813	2223	507
814	2227	505
815	2229	502
816	2232	500
817	2235	497
818	2238	494
819	2243	492
820	2246	489
821	2248	487
822	2251	484
823	2254	481
824	2259	479
825	2262	476
826	2265	474
827	2269	471
828	2271	468
829	2276	466
830	2279	463
831	2282	460
832	2285	458
833	2288	455
834	2293	453
835	2296	450
836	2299	447
837	2301	445
838	2304	442
839	2308	439
840	2311	437
841	2315	434
842	2318	431
843	2320	428
844	2324	426
845	2327	423
846	2330	420
847	2333	418
848	2336	415
849	2341	413
850	2343	410
851	2346	407
852	2349	404
853	2352	402
854	2357	399
855	2360	397
856	2363	394
857	2365	391
858	2368	388
859	2373	386
860	2376	383
861	2379	380
862	2382	378
863	2385	375
864	2389	372
865	2392	370
866	2395	367
867	2398	364
868	2400	361
869	2405	359
870	2408	356
871	2412	354
872	2415	351
873	2419	348
874	2422	346
875	2425	343
876	2428	340
877	2431	337
878	2435	335
879	2438	332
880	2441	329
881	2444	327
882	2447	324
883	2452	321
884	2455	319
885	2457	316
886	2460	313
887	2463	310
888	2467	308
889	2470	305
890	2473	302
891	2476	299
892	2479	297
893	2481	294
894	2486	291
895	2489	288
896	2492	286
897	2494	283
898	2497	280
899	2501	277
900	2504	275
901	2507	272
902	2510	269
903	2512	266
904	2517	264
905	2520	261
906	2523	258
907	2526	256
908	2529	253
909	2533	250
910	2535	247
911	2538	244
912	2541	242
913	2544	239
914	2549	236
915	2552	234
916	2555	231
917	2558	228
918	2563	225
919	2565	223
920	2568	220
921	2572	217
922	2575	214
923	2579	212
924	2583	209
925	2585	206
926	2588	203
927	2591	201
928	2596	198
929	2600	195
930	2602	192
931	2605	190
932	2608	187
933	2614	184
934	2618	182
935	2622	179
936	2630	176
937	2633	174
938	2636	171
939	2639	168
940	2643	165
941	2646	162
942	2649	160
943	2652	157
944	2655	154
945	2658	151
946	2662	149
947	2666	146
948	2668	143
949	2671	140
950	2676	137
951	2679	135
952	2682	132
953	2685	129
954	2687	126
955	2693	123
956	2696	121
957	2699	118
958	2701	115
959	2703	112
960	2708	109
961	2711	107
962	2714	104
963	2716	101
964	2719	98
965	2724	95
966	2727	93
967	2729	90
968	2732	87
969	2735	84
970	2740	81
971	2743	79
972	2747	76
973	2750	73
974	2752	70
975	2757	67
976	2760	64
977	2763	62
978	2766	59
979	2768	56
980	2773	53
981	2776	50
982	2779	48
983	2782	45
984	2784	42
985	2790	39
986	2792	36
987	2796	33
988	2799	31
989	2801	28
990	2805	25
991	2808	22
992	2811	19
993	2814	16
994	2817	14
995	2822	11
996	2826	8
997	2829	5
998	2831	2
999	2834	0
