iter	RMSE
177	3839.735809
178	3833.739709
179	3829.555084
180	3822.868978
181	3819.515095
182	3816.983147
183	3810.185001
184	3796.794871
185	3792.878883
186	3782.111166
187	3776.661118
188	3771.967075
189	3765.195429
190	3759.393569
191	3751.622559
192	3744.454378
193	3740.383775
194	3730.509574
195	3725.506915
196	3721.488766
197	3716.41681
198	3708.921637
199	3699.111077
200	3693.280084
201	3689.152849
202	3683.783552
203	3680.421112
204	3674.17753
205	3668.778554
206	3659.129162
207	3653.908043
208	3648.937639
209	3646.681884
210	3642.187804
211	3637.610685
212	3632.619486
213	3625.657897
214	3622.202546
215	3617.488514
216	3613.373674
217	3610.501778
218	3606.470696
219	3601.883383
220	3598.657555
221	3594.46055
222	3590.567836
223	3589.287181
224	3586.351323
225	3583.179624
226	3577.77233
227	3570.639114
228	3564.119955
229	3556.380463
230	3551.957919
231	3548.009593
232	3545.682266
233	3542.220342
234	3539.341548
235	3535.476647
236	3529.399899
237	3524.463392
238	3522.239843
239	3516.948132
240	3513.90172
241	3511.935721
242	3508.517534
243	3502.87303
244	3500.725402
245	3497.01455
246	3493.17741
247	3488.768309
248	3485.488508
249	3480.741602
250	3476.769167
251	3471.672354
252	3468.699582
253	3465.903153
254	3462.512251
255	3459.943171
256	3456.015602
257	3452.662999
258	3448.883306
259	3443.57825
260	3439.810661
261	3436.171719
262	3433.423921
263	3428.90913
264	3427.070347
265	3421.623678
266	3419.308194
267	3412.887003
268	3408.272171
269	3406.421237
270	3404.57689
271	3401.089529
272	3396.478397
273	3390.270139
274	3388.173945
275	3387.072617
276	3384.377746
277	3381.093653
278	3377.013826
279	3372.908982
280	3368.221131
281	3366.819476
282	3362.790218
283	3358.090711
284	3355.17828
285	3352.344856
286	3348.10991
287	3346.466599
288	3341.943325
289	3339.328753
290	3334.212064
291	3331.810493
292	3329.526518
293	3327.61504
294	3323.197958
295	3319.42706
296	3315.822681
297	3313.992942
298	3311.449295
299	3309.455562
300	3302.04835
301	3298.998467
302	3296.537362
303	3293.774516
304	3287.299083
305	3283.014836
306	3278.895769
307	3275.565355
308	3271.136719
309	3269.615879
310	3266.218835
311	3261.591375
312	3258.923712
313	3255.596752
314	3254.756618
315	3252.122894
316	3249.867121
317	3248.468576
318	3244.460446
319	3239.712312
320	3236.282802
321	3234.003888
322	3229.425742
323	3225.549233
324	3222.08344
325	3219.755595
326	3215.015952
327	3214.217604
328	3209.854038
329	3207.920606
330	3205.154532
331	3202.711576
332	3199.843867
333	3193.675835
334	3189.136174
335	3187.243254
336	3181.972604
337	3178.200543
338	3173.21296
339	3171.282308
340	3169.271691
341	3168.376784
342	3162.130261
343	3158.849663
344	3156.780252
345	3155.092507
346	3153.756537
347	3150.891147
348	3148.376157
349	3144.103417
350	3139.425314
351	3136.531058
352	3134.746387
353	3130.885406
354	3126.835669
355	3124.59342
356	3122.932351
357	3119.797395
358	3115.509166
359	3111.841343
360	3109.082775
361	3105.422686
362	3103.754975
363	3100.964669
364	3098.335893
365	3096.294306
366	3095.254932
367	3092.120997
368	3087.511314
369	3083.889025
370	3080.342258
371	3077.929943
372	3076.475684
373	3074.202608
374	3072.187335
375	3067.010505
376	3063.03075
377	3061.290702
378	3058.328565
379	3055.486164
380	3053.407348
381	3050.725331
382	3048.873456
383	3047.062148
384	3046.011227
385	3044.580553
386	3043.18365
387	3038.101294
388	3037.265952
389	3034.486033
390	3031.731008
391	3029.751917
392	3027.450839
393	3022.447555
394	3018.435907
395	3013.092037
396	3010.818372
397	3007.889153
398	3005.504054
399	3003.94125
400	3001.146605
401	2996.70452
402	2992.928931
403	2991.751221
404	2988.885265
405	2986.848528
406	2983.587986
407	2982.487821
408	2979.355241
409	2974.956008
410	2972.657283
411	2970.163097
412	2966.568951
413	2963.182036
414	2961.465305
415	2957.190251
416	2955.428448
417	2952.95525
418	2950.715448
419	2948.940854
420	2946.25589
421	2942.13509
422	2940.590272
423	2937.194957
424	2934.071447
425	2932.159639
426	2929.924891
427	2927.426754
428	2924.89415
429	2922.612852
430	2920.083179
431	2918.112874
432	2916.075337
433	2914.449428
434	2912.171432
435	2910.07539
436	2907.273304
437	2904.41057
438	2902.422254
439	2900.560447
440	2896.299655
441	2892.574008
442	2890.290789
443	2886.884889
444	2885.106047
445	2883.235589
446	2880.376083
447	2877.52728
448	2875.263458
449	2872.271555
450	2869.154819
451	2866.537724
452	2864.492198
453	2861.342287
454	2858.436681
455	2855.715488
456	2854.311247
457	2852.616002
458	2849.189896
459	2844.117416
460	2840.675494
461	2838.94878
462	2838.194083
463	2836.320312
464	2834.707577
465	2832.402616
466	2830.366329
467	2827.720086
468	2825.129384
469	2824.310863
470	2821.629492
471	2818.085676
472	2816.685027
473	2814.068732
474	2811.864524
475	2810.589874
476	2807.824992
477	2806.048551
478	2802.081072
479	2798.821845
480	2796.431409
481	2794.634029
482	2789.488718
483	2786.521982
484	2784.017557
485	2782.611378
486	2781.749334
487	2778.749299
488	2776.835242
489	2771.906229
490	2770.041072
491	2767.893112
492	2766.128129
493	2762.816352
494	2760.470402
495	2758.869102
496	2758.100693
497	2757.152323
498	2755.359084
499	2752.848609
500	2751.955559
501	2749.625443
502	2745.198728
503	2741.647572
504	2737.959624
505	2735.008357
506	2732.806314
507	2729.415668
508	2725.667466
509	2721.988614
510	2718.790057
511	2715.669735
512	2710.969158
513	2708.377477
514	2703.768965
515	2700.184197
516	2696.87285
517	2694.280094
518	2691.455341
519	2688.745096
520	2687.369379
521	2685.631322
522	2682.273029
523	2679.808467
524	2679.148151
525	2678.673794
526	2674.547515
527	2669.783779
528	2663.282877
529	2660.194525
530	2657.632158
531	2654.178287
532	2650.65361
533	2648.010203
534	2645.827377
535	2644.960842
536	2643.419088
537	2641.061299
538	2639.405465
539	2637.275941
540	2634.345772
541	2632.011596
542	2630.242035
543	2628.032518
544	2625.747667
545	2623.027592
546	2618.970269
547	2616.210699
548	2612.077448
549	2609.715642
550	2608.414181
551	2605.564251
552	2604.618307
553	2600.722645
554	2599.557491
555	2597.604605
556	2594.904321
557	2590.896836
558	2589.080871
559	2588.071207
560	2585.416809
561	2584.017668
562	2581.32749
563	2580.123742
564	2577.71623
565	2573.537662
566	2572.604211
567	2570.083913
568	2568.659066
569	2567.1894
570	2565.087786
571	2562.589647
572	2560.252
573	2557.806269
574	2555.77881
575	2553.620155
576	2550.109734
577	2548.422229
578	2546.935089
579	2545.046329
580	2542.586948
581	2541.287
582	2538.912414
583	2535.788787
584	2533.021341
585	2531.069061
586	2529.184722
587	2528.043629
588	2525.938174
589	2524.251704
590	2522.257151
591	2518.391664
592	2516.095538
593	2512.827117
594	2511.58095
595	2509.822849
596	2505.555661
597	2503.161209
598	2500.927927
599	2497.040003
600	2495.996698
601	2494.014074
602	2492.912564
603	2489.419404
604	2485.896962
605	2484.598634
606	2483.400122
607	2481.528336
608	2479.437861
609	2477.742471
610	2476.620421
611	2474.276779
612	2470.632375
613	2468.147421
614	2463.668464
615	2463.272052
616	2461.420317
617	2459.899158
618	2457.566405
619	2456.099773
620	2454.162317
621	2452.042399
622	2450.612849
623	2449.721408
624	2446.645413
625	2444.9969
626	2443.719858
627	2440.011313
628	2438.703683
629	2434.807528
630	2433.570181
631	2430.130325
632	2428.697922
633	2426.673949
634	2424.625191
635	2420.974072
636	2418.990226
637	2417.087207
638	2414.297598
639	2412.568659
640	2410.742063
641	2408.121814
642	2406.033268
643	2403.828626
644	2402.207058
645	2399.557961
646	2397.04259
647	2392.803621
648	2389.922008
649	2388.570719
650	2387.273887
651	2385.654941
652	2384.480401
653	2382.475279
654	2379.179983
655	2376.30005
656	2374.742852
657	2373.133361
658	2371.467153
659	2370.134946
660	2367.332849
661	2365.364906
662	2364.319238
663	2362.87538
664	2359.206582
665	2358.246802
666	2356.858622
667	2355.277112
668	2354.58692
669	2352.592992
670	2350.931064
671	2349.101697
672	2347.656913
673	2345.80889
674	2344.817903
675	2341.975204
676	2339.538273
677	2337.255511
678	2334.648412
679	2333.706865
680	2331.575276
681	2329.945315
682	2327.921286
683	2327.166966
684	2326.136068
685	2324.704286
686	2323.339162
687	2321.136622
688	2318.799347
689	2316.904783
690	2315.534445
691	2314.065021
692	2313.144882
693	2311.322422
694	2309.638572
695	2307.395838
696	2306.152173
697	2303.360179
698	2301.852952
699	2299.33333
700	2296.505427
701	2295.267548
702	2293.681433
703	2292.706148
704	2290.304263
705	2289.882124
706	2287.429627
707	2285.357104
708	2284.452884
709	2284.007488
710	2282.586348
711	2281.045495
712	2279.20674
713	2277.641646
714	2277.0761
715	2275.055855
716	2273.30321
717	2271.537374
718	2270.575998
719	2268.54538
720	2267.622773
721	2266.495315
722	2265.521577
723	2264.983817
724	2262.051038
725	2260.885507
726	2259.830524
727	2258.054994
728	2256.429318
729	2255.171445
730	2254.364384
731	2253.430824
732	2252.371531
733	2251.000961
734	2249.751647
735	2248.538915
736	2247.978799
737	2246.550968
738	2245.641726
739	2244.277471
740	2243.781953
741	2241.795376
742	2241.254541
743	2240.023897
744	2237.260102
745	2235.744639
746	2233.69637
747	2232.642284
748	2231.622607
749	2230.158073
750	2228.866212
751	2228.081555
752	2226.837999
753	2226.154395
754	2224.961239
755	2224.025929
756	2220.783852
757	2219.6411
758	2218.789618
759	2216.544619
760	2214.074939
761	2212.993074
762	2212.037762
763	2208.728281
764	2207.240759
765	2205.402853
766	2204.48675
767	2200.411167
768	2199.852594
769	2198.636978
770	2193.529334
771	2192.450513
772	2191.578441
773	2190.638459
774	2188.240079
775	2186.616001
776	2185.708153
777	2182.90611
778	2182.162457
779	2181.449388
780	2177.137937
781	2176.093226
782	2173.968078
783	2170.517659
784	2169.321677
785	2168.249463
786	2166.464504
787	2163.989913
788	2162.181715
789	2161.182755
790	2160.425337
791	2158.071209
792	2156.167594
793	2153.598745
794	2152.319104
795	2150.840876
796	2149.522044
797	2147.311938
798	2146.507572
799	2145.074859
800	2144.525268
801	2142.699346
802	2141.65726
803	2140.861433
804	2139.84108
805	2139.23773
806	2137.626069
807	2135.601409
808	2135.196714
809	2133.042352
810	2131.84022
811	2130.750191
812	2129.443714
813	2128.348724
814	2126.016556
815	2124.224681
816	2123.281522
817	2122.065088
818	2121.10797
819	2119.730011
820	2117.707106
821	2117.059154
822	2116.587142
823	2115.477976
824	2113.720931
825	2112.570775
826	2111.388743
827	2110.494008
828	2107.891857
829	2106.586352
830	2105.870285
831	2103.750123
832	2102.500249
833	2101.70209
834	2101.133318
835	2099.62619
836	2098.40692
837	2097.935604
838	2095.691201
839	2094.427809
840	2093.721265
841	2090.977133
842	2089.015783
843	2088.154494
844	2086.924425
845	2085.64978
846	2084.438976
847	2083.283271
848	2081.143011
849	2080.394635
850	2078.913288
851	2077.37375
852	2076.650827
853	2075.999902
854	2074.981221
855	2074.12715
856	2073.236473
857	2072.241283
858	2071.641266
859	2070.059232
860	2068.487839
861	2066.875824
862	2066.101886
863	2065.161182
864	2061.757037
865	2060.322599
866	2059.106447
867	2058.583711
868	2057.061535
869	2056.945945
870	2056.429765
871	2055.773562
872	2055.191226
873	2053.643367
874	2052.478155
875	2051.389936
876	2049.06193
877	2044.987486
878	2043.654554
879	2042.482741
880	2041.130141
881	2040.200087
882	2038.450591
883	2037.466002
884	2035.505479
885	2034.439373
886	2033.126843
887	2031.221758
888	2028.757753
889	2028.108373
890	2026.356966
891	2024.955482
892	2023.589559
893	2022.903864
894	2021.746183
895	2019.983227
896	2018.801856
897	2017.904715
898	2017.548045
899	2015.494739
900	2013.593249
901	2012.197881
902	2011.338524
903	2010.395147
904	2008.56517
905	2006.663895
906	2005.441904
907	2004.254734
908	2002.906819
909	2001.29687
910	2000.482915
911	1998.531462
912	1997.248348
913	1997.062526
914	1995.794593
915	1993.570967
916	1992.824687
917	1992.172927
918	1990.745332
919	1989.162156
920	1988.513383
921	1987.559233
922	1986.646231
923	1985.289181
924	1983.505512
925	1982.809719
926	1979.276805
927	1977.922289
928	1977.801179
929	1976.775466
930	1975.924243
931	1974.379267
932	1973.283941
933	1972.425887
934	1971.695489
935	1968.896504
936	1968.679484
937	1968.060438
938	1966.821283
939	1964.805775
940	1963.225271
941	1961.893511
942	1961.107843
943	1959.747175
944	1958.311612
945	1957.033526
946	1955.176627
947	1952.940493
948	1952.188619
949	1951.739728
950	1950.215616
951	1949.730051
952	1947.909841
953	1946.239658
954	1945.448742
955	1941.765701
956	1941.185065
957	1940.855296
958	1940.668805
959	1937.800438
960	1936.698374
961	1935.715368
962	1933.958514
963	1932.015649
964	1929.467479
965	1928.6337
966	1927.433383
967	1926.94878
968	1926.315713
969	1925.174893
970	1924.315125
971	1921.444462
972	1919.928849
973	1917.800721
974	1916.229889
975	1915.378095
976	1914.186163
977	1913.3949
978	1912.508327
979	1911.319258
980	1911.011293
981	1910.135904
982	1909.039337
983	1908.181499
984	1907.480705
985	1906.25433
986	1905.130374
987	1904.165292
988	1902.147326
989	1901.281471
990	1900.612192
991	1900.00212
992	1899.40793
993	1898.796659
994	1897.196957
995	1896.370079
996	1895.789405
997	1894.134354
998	1892.020966
999	1890.484029
